Time,Country Code,AG.LND.FRST.K2,AG.PRD.LVSK.XD,EG.ELC.RNWX.KH,EG.FEC.RNEW.ZS,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.PC,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG,SP.POP.GROW,SP.POP.TOTL,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
1960, The BHS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18928.0657132688,NaN,NaN,114500,NaN,68370,59.712
1960,ABW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54608,NaN,27728,50.776
1960,AFG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8622466,NaN,724373,8.401
1960,AGO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5357195,NaN,559023,10.435
1960,ALB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1608800,NaN,493982,30.705
1960,AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9443,NaN,5519,58.45
1960,ARE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133426,NaN,98068,73.5
1960,ARG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7410.30502869639,NaN,NaN,20349744,NaN,14979650,73.611
1960,ARM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1904148,NaN,976352,51.275
1960,ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20085,NaN,13298,66.211
1960,ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55342,NaN,21946,39.656
1960,AUS,NaN,NaN,303000000,NaN,1825.62564972412,3063.55427059293,NaN,19948.0299707141,NaN,NaN,10276477,NaN,8378309,81.529
1960,AUT,NaN,NaN,0,NaN,1814.67601669178,1546.26146801032,NaN,12051.1511700385,NaN,NaN,7047539,NaN,4561167,64.72
1960,AZE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3894500,NaN,2050961,52.663
1960,BDI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,290.733232271528,NaN,NaN,2746628,NaN,57047,2.077
1960,BEL,NaN,NaN,0,NaN,1576.33881463123,2519.49731954668,NaN,11734.306170839,NaN,NaN,9153489,NaN,8463316,92.46
1960,BEN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,657.218941491879,NaN,NaN,2512284,NaN,233014,9.275
1960,BFA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,243.930505544525,NaN,NaN,4783259,NaN,224813,4.7
1960,BGD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,441.447951642675,NaN,NaN,50396429,NaN,2587857,5.135
1960,BGR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7867374,NaN,2918796,37.1
1960,BHR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160691,NaN,132281,82.32
1960,BIH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3262539,NaN,621187,19.04
1960,BLR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8198000,NaN,2656234,32.401
1960,BLZ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1558.38864778125,NaN,NaN,91403,NaN,49383,54.028
1960,BMU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37935.8868025746,NaN,NaN,44400,NaN,44400,100
1960,BOL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1275.17751015749,NaN,NaN,3707515,NaN,1362957,36.762
1960,BRA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2578.42872825736,NaN,NaN,73092515,NaN,33724155,46.139
1960,BRB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,232550,NaN,85525,36.777
1960,BRN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85346,NaN,37041,43.401
