place,pop2023,growthRate,area,country,cca3,cca2,ccn3,region,subregion,landAreaKm,density,densityMi,Rank,consmPerCap,consm,consmGals,pop2020,rank
203,10495295,0.00013,78865,Czech Republic,CZE,CZ,203,Europe,Eastern Europe,77198.5,135.9521,352.1158,89,181.7,1946,514079,10708981,1
40,8958960,0.00216,83871,Austria,AUT,AT,40,Europe,Western Europe,82520,108.5671,281.1889,100,96.8,872,230358,9006398,2
616,41026067,0.02933,312679,Poland,POL,PL,616,Europe,Eastern Europe,306130,134.0152,347.0993,37,96,3633,959737,37846611,3
642,19892812,0.01188,238391,Romania,ROU,RO,642,Europe,Eastern Europe,230080,86.4604,223.9325,64,95,1828,482907,19237691,4
276,83294633,-0.0009,357114,Germany,DEU,DE,276,Europe,Western Europe,349390,238.4002,617.4564,19,92.5,7746,2046277,83783942,5
233,1322765,-0.00249,45227,Estonia,EST,EE,233,Europe,Northern Europe,42750,30.9419,80.1394,156,84.4,112,29587,1326535,6
440,2718352,-0.01153,65300,Lithuania,LTU,LT,440,Europe,Northern Europe,62620,43.4103,112.4326,142,83.4,227,59967,2722289,7
516,2604172,0.01448,825615,Namibia,NAM,NA,516,Africa,Sub-Saharan Africa,823290,3.1631,8.1925,145,83.4,212,56004,2540905,8
703,5795199,0.02689,49037,Slovakia,SVK,SK,703,Europe,Eastern Europe,49035,118.1849,306.099,116,82.2,449,118613,5459642,9
724,47519628,-0.00082,505992,Spain,ESP,ES,724,Europe,Southern Europe,499556.6,95.1236,246.3702,32,81.6,3815,1007816,46754778,10
372,5056935,0.00673,70273,Ireland,IRL,IE,372,Europe,Northern Europe,68890,73.4059,190.1214,125,81,400,105669,4937786,11
266,2436566,0.01991,267668,Gabon,GAB,GA,266,Africa,Sub-Saharan Africa,257670,9.4561,24.4914,146,80,178,47023,2225734,12
178,6106869,0.02285,342000,Republic of the Congo,COG,CG,178,Africa,Sub-Saharan Africa,341500,17.8825,46.3156,113,78.8,435,114915,5518087,13
246,5545475,0.00085,338424,Finland,FIN,FI,246,Europe,Northern Europe,303940,18.2453,47.2553,118,77.2,428,113066,5540720,14
100,6687717,-0.0139,110879,Bulgaria,BGR,BG,100,Europe,Eastern Europe,108560,61.6039,159.554,110,75.6,525,138690,6948445,15
840,339996563,0.00505,9372610,United States,USA,US,840,North America,Northern America,9147420,37.1686,96.2666,3,72.8,24105,6367867,331002651,16
191,4008617,-0.00539,56594,Croatia,HRV,HR,191,Europe,Southern Europe,55960,71.6336,185.5311,130,72.1,296,78195,4105267,17
36,26439111,0.01,7692024,Australia,AUS,AU,36,Oceania,Australia and New Zealand,7692020,3.4372,8.9024,55,71.6,1825,482114,25499884,18
705,2119675,-0.00008,20273,Slovenia,SVN,SI,705,Europe,Southern Europe,20136.4,105.2658,272.6385,149,69.7,145,38305,2078938,19
348,10156239,0.01896,93028,Hungary,HUN,HU,348,Europe,Eastern Europe,91260,111.2891,288.2386,94,68.3,660,174354,9660351,20
528,17618299,0.00309,41850,Netherlands,NLD,NL,528,Europe,Western Europe,33670,523.264,1355.2538,72,67.1,1150,303798,17134872,21
76,216422446,0.00515,8515767,Brazil,BRA,BR,76,South America,Latin America,8358140,25.8936,67.0645,7,65.1,13847,3657990,212559417,22
484,128455567,0.00746,1964375,Mexico,MEX,MX,484,North America,Latin America,1943950,66.0797,171.1463,10,64.3,8287,2189194,128932753,23
70,3210847,-0.00701,51209,Bosnia and Herzegovina,BIH,BA,70,Europe,Southern Europe,51200,62.7119,162.4237,137,63.7,209,55212,3280819,24
208,5910913,0.00487,43094,Denmark,DNK,DK,208,Europe,Northern Europe,40000,147.7728,382.7316,115,62.2,360,95102,5792202,25
826,67736802,0.00338,242900,United Kingdom,GBR,GB,826,Europe,Northern Europe,241930,279.9851,725.1615,21,60.2,4088,1079935,67886011,26
554,5228100,0.00826,270467,New Zealand,NZL,NZ,554,Oceania,Australia and New Zealand,263310,19.8553,51.4252,123,60.1,290,76610,4822233,27
643,144444359,-0.00186,17098242,Russia,RUS,RU,643,Europe,Eastern Europe,16376870,8.82,22.8439,9,59.2,8646,2284032,145934462,28
630,3260314,0.00243,8870,Puerto Rico,PRI,PR,630,North America,Caribbean,8870,367.5664,951.997,136,58,166,43853,2860853,29
710,60414495,0.00869,1221037,South Africa,ZAF,ZA,710,Africa,Sub-Saharan Africa,1213090,49.8022,128.9876,24,55.4,3284,867541,59308690,30
56,11686140,0.00259,30528,Belgium,BEL,BE,56,Europe,Western Europe,30280,385.9359,999.5741,82,53.1,615,162466,11589623,31
124,38781291,0.0085,9984670,Canada,CAN,CA,124,North America,Northern America,8965590,4.3256,11.2032,38,52.4,1979,522796,37742154,32
756,8796669,0.00643,41284,Switzerland,CHE,CH,756,Europe,Western Europe,39516,222.6103,576.5607,101,52.3,453,119670,8654622,33
591,4468087,0.0135,75417,Panama,PAN,PA,591,North America,Latin America,74180,60.233,156.0036,128,51.9,224,59175,4314767,34
752,10612086,0.00595,450295,Sweden,SWE,SE,752,Europe,Northern Europe,407283.5,26.0558,67.4844,87,50.6,511,134992,10099265,35
170,52085168,0.00407,1141748,Colombia,COL,CO,170,South America,Latin America,1109500,46.9447,121.5868,28,44.1,2246,593330,50882891,36
804,36744634,-0.07448,603500,Ukraine,UKR,UA,804,Europe,Eastern Europe,579400,63.4184,164.2537,41,43,1881,496908,43733762,37
